Gamma300_meV,delta_xx_meV,config,g2_q,g2_p,t_x,eps,rho2
8.0,1.0,cav,nan,0.8369998361341381,0.33298396599744323,1.1215919840668334,0.9422414745897112
8.0,1.5,cav,nan,0.8055812441040132,0.33298396599744323,1.047466630703807,0.9422414745897112
8.0,2.0,cav,0.31916739209908873,0.7677533197621232,0.33298396599744323,0.9640455393506323,0.9422414745897112
8.0,2.5,cav,0.299427932331398,0.724514625697243,0.33298396599744323,0.8754743700252761,0.9422414745897112
8.0,3.0,cav,0.2785398336038831,0.676954554259324,0.33298396599744323,0.7852586938529785,0.9422414745897112
8.0,3.5,cav,0.2571212599750681,0.6262519618568894,0.33298396599744323,0.6962354180170244,0.9422414745897112
8.0,4.0,cav,0.23596164242844886,0.5742292445491056,0.33298396599744323,0.611511298278717,0.9422414745897112
8.0,4.5,cav,0.21568157172396463,0.5225548105876834,0.33298396599744323,0.5331151415965651,0.9422414745897112
8.0,5.0,cav,0.1968506781965359,0.47297233287740903,0.33298396599744323,0.4626280905268551,0.9422414745897112
8.0,5.5,cav,0.17978482138260043,0.4266964929859727,0.33298396599744323,0.40055912227555807,0.9422414745897112
8.0,6.0,cav,0.16482832968557315,0.3850848760650887,0.33298396599744323,0.3475077584444363,0.9422414745897112
8.0,6.5,cav,0.15185342307460348,0.34818240012778934,0.33298396599744323,0.30245968467103757,0.9422414745897112
8.0,7.0,cav,0.140727640486207,0.3159406543136376,0.33298396599744323,0.26452621307286933,0.9422414745897112
8.0,7.5,cav,0.13119341051904787,0.2878691190104895,0.33298396599744323,0.23251348679470576,0.9422414745897112
8.0,8.0,cav,0.12312460714598294,0.26379198974871365,0.33298396599744323,0.20576824577837213,0.9422414745897112
10.0,1.0,slit,nan,0.9660783594460844,0.49676117336035674,1.1888928443472877,0.23475862458507643
10.0,1.5,slit,nan,0.9640848525515158,0.49676117336035674,1.1684289773167897,0.23475862458507643
10.0,2.0,slit,nan,0.9611470745385755,0.49676117336035674,1.1389103100452083,0.23475862458507643
10.0,2.5,slit,nan,0.9572654806386667,0.49676117336035674,1.1010176318045974,0.23475862458507643
10.0,3.0,slit,nan,0.9523085023075293,0.49676117336035674,1.0543477155063523,0.23475862458507643
10.0,3.5,slit,0.8322539914632869,0.9461511073101425,0.49676117336035674,0.9988583146415899,0.23475862458507643
10.0,4.0,slit,0.8287674076822755,0.9386682868281638,0.49676117336035674,0.9347940936752169,0.23475862458507643
10.0,4.5,slit,0.824871890411852,0.9300626916593155,0.49676117336035674,0.8652249473217759,0.23475862458507643
10.0,5.0,slit,0.8206343279426024,0.920407120755524,0.49676117336035674,0.7918229970357306,0.23475862458507643
10.0,5.5,slit,0.816182733225437,0.909932501269182,0.49676117336035674,0.7171205845742693,0.23475862458507643
10.0,6.0,slit,0.8116849580227221,0.8990030134744821,0.49676117336035674,0.6440012619847779,0.23475862458507643
10.0,6.5,slit,0.8072504990714706,0.8878850371760619,0.49676117336035674,0.574097719324217,0.23475862458507643
10.0,7.0,slit,0.8031072752804942,0.8771883776809951,0.49676117336035674,0.5106392419014627,0.23475862458507643
10.0,7.5,slit,0.7992816817085222,0.8670452586013033,0.49676117336035674,0.45355534500573946,0.23475862458507643
10.0,8.0,slit,0.7958213166935623,0.8576488057795805,0.49676117336035674,0.40311263603938474,0.23475862458507643
10.0,1.0,cav,nan,0.8535747265024938,0.29965378348336213,1.1601566027792054,0.9358478155837503
10.0,1.5,cav,nan,0.8294176868130008,0.29965378348336213,1.1004772261674034,0.9358478155837503
10.0,2.0,cav,nan,0.8004122101652321,0.29965378348336213,1.0326278520440624,0.9358478155837503
10.0,2.5,cav,0.3228449765249133,0.7673028534043955,0.29965378348336213,0.9597113899370969,0.9358478155837503
